Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
Timing Device Assemblers and Adjusters,2,"Perform precision assembling or adjusting, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.",Production Occupations,51-2061.00,Ensambladores y ajustadores de dispositivos de cronometraje,"Realice un ensamblaje o ajuste de precisión, dentro de tolerancias estrechas, de dispositivos de sincronización como relojes digitales o dispositivos de sincronización con componentes eléctricos o electrónicos.",Ocupaciones de producción
Team Assemblers,2,"Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.",Production Occupations,51-2092.00,Ensambladores de equipo,"Trabaje como parte de un equipo que tiene responsabilidad por reunir un producto o componente completo de un producto. Los ensambladores del equipo pueden realizar todas las tareas realizadas por el equipo en el proceso de ensamblaje y rotar a través de todas o la mayoría de ellas, en lugar de ser asignadas a una tarea específica de manera permanente. Puede participar en la toma de decisiones de gestión que afectan el trabajo. Incluye líderes de equipo que trabajan como parte del equipo.",Ocupaciones de producción
Bakers,2,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.",Production Occupations,51-3011.00,Panadería,"Mezcle y hornee ingredientes para producir panes, rollos, galletas, pasteles, pasteles, pasteles u otros productos horneados.",Ocupaciones de producción
Butchers and Meat Cutters,2,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.",Production Occupations,51-3021.00,Carniceros y cortadores de carne,"Corte, recorte o prepare porciones de carne del tamaño del consumidor para su uso o venta en establecimientos minoristas.",Ocupaciones de producción
"Meat, Poultry, and Fish Cutters and Trimmers",1,"Use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.",Production Occupations,51-3022.00,"Cortadores y recortadores de carne, aves y pescado","Use manos o herramientas manuales para realizar el corte de rutina y el recorte de carne, aves y mariscos.",Ocupaciones de producción
Slaughterers and Meat Packers,2,"Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.",Production Occupations,51-3023.00,Mataderos y empacadores de carne,"Realice funciones no rutinas o de precisión que impliquen la preparación de grandes porciones de carne. El trabajo puede incluir tareas de sacrificio especializadas, recortes de carne estándar o premium para marketing, hacer salchichas o envolver carnes. El trabajo generalmente ocurre en el sacrificio, el empaque de carne o los establecimientos mayoristas.",Ocupaciones de producción
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,"Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.",Production Occupations,51-3091.00,"Operadores y licitadores de tostado de alimentos y tabaco, hornear y secar","Operar o tender alimentos o tostados de tabaco, hornear o secar equipos, incluidos hornos de hogar, secadores de horno, tostadores, hornos de carbón y equipo de secado al vacío.",Ocupaciones de producción
Food Batchmakers,2,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.,Production Occupations,51-3092.00,Fabricantes de lotes de comida,Configure y opere equipos que mezcle o combinen ingredientes utilizados en la fabricación de productos alimenticios. Incluye fabricantes de dulces y fabricantes de queso.,Ocupaciones de producción
Food Cooking Machine Operators and Tenders,2,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.",Production Occupations,51-3093.00,Operadores y licitaciones de la máquina de cocción de alimentos,"Opere o tiendo equipos de cocina, como cubiertas de vapor, ollas de alevines, cocinas a presión, hervidores y calderas, para preparar productos alimenticios.",Ocupaciones de producción
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.",Production Occupations,51-4021.00,"Setters, operadores y licitaciones de extruido y dibujo, metal y plástico","Configurar, operar o tender máquinas para extruir o dibujar materiales termoplásticos o metálicos en tubos, barras, mangueras, alambre, barras o formas estructurales.",Ocupaciones de producción
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.",Production Occupations,51-4022.00,"Forjing Machine Setters, operadores y licitaciones, metal y plástico","Configurar, operar o tender las máquinas para disminuir, dar forma o formar piezas de metal o plástico.",Ocupaciones de producción
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.",Production Occupations,51-4023.00,"Setters, operadores y licitaciones, metal y plástico.","Configurar, operar o tender máquinas para enrollar acero o plástico formando curvas, cuentas, nudillos, rollos o placa, o aplanar, templar o reducir el indicador de material.",Ocupaciones de producción
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.",Production Occupations,51-4031.00,"Cortadores de máquinas de corte, perforación y prensa, operadores y licitaciones, metal y plástico","Configurar, operar o tender las máquinas para ver, cortar, cortar, cortar, golpear, meter, muescas, muescas, doblar o enderezar el material de metal o plástico.",Ocupaciones de producción
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.",Production Occupations,51-4032.00,"Terratorios de herramientas, operadores y licitaciones de perforación y perforación.","Configurar, operar o tender máquinas para perforar, perforar, moldear, molienda o piezas de trabajo de metal o plástico.",Ocupaciones de producción
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.",Production Occupations,51-4033.00,"Molillas, lamiendo, pulido y pulido de herramientas, operadores y licitaciones, metal y plástico","Configurar, operar o tender las herramientas de molienda y relacionadas que eliminan el exceso de material o rebabas de las superficies, afilen los bordes o esquinas, o las piezas de trabajo de metal o plástico pulido o de plástico.",Ocupaciones de producción
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.",Production Occupations,51-4034.00,"Pitters, operadores y licitadores de torno y giro","Configure, opere o tiendo las máquinas de torno y giro para girar, perforar, roscar, formar o hacer metal o materiales plásticos, como alambre, varilla o caldo de barra.",Ocupaciones de producción
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.",Production Occupations,51-4035.00,"Setters, operadores y licitaciones de fresado y planificación, metal y plástico","Configurar, operar o tender las máquinas de molienda o planificación para molienda, plano, forma, ranura o piezas de trabajo de metal o plástico de perfil.",Ocupaciones de producción
Machinists,3,"Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",Production Occupations,51-4041.00,Maquinistas,"Configure y opere una variedad de máquinas herramientas para producir piezas e instrumentos de precisión de metal. Incluye fabricantes de instrumentos de precisión que fabrican, modifican o reparan instrumentos mecánicos. También puede fabricar y modificar piezas para hacer o reparar máquinas herramientas o mantener máquinas industriales, aplicar el conocimiento de la mecánica, las matemáticas, las propiedades del metal, el diseño y los procedimientos de mecanizado.",Ocupaciones de producción
Metal-Refining Furnace Operators and Tenders,2,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.",Production Occupations,51-4051.00,Operadores y licitaciones del horno de refinamiento de metal,"Operar o tender hornos, como gas, petróleo, carbón, arco eléctrico o inducción eléctrica, hornos de oxígeno o oxígeno, para derretir y refinar metal antes de la fundición o para producir tipos de acero especificados.",Ocupaciones de producción
"Pourers and Casters, Metal",2,Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.,Production Occupations,51-4052.00,"Verteros y ruedas, metal",Opere mecanismos controlados a mano para verter y regular el flujo de metal fundido en moldes para producir fundiciones o lingotes.,Ocupaciones de producción
"Model Makers, Metal and Plastic",3,"Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers.",Production Occupations,51-4061.00,"Fabricantes de modelos, metal y plástico","Configure y opere máquinas, como tornos, fresadoras y máquinas de grabado, y barrenadores de plantillas para hacer modelos de trabajo de objetos de metal o plástico. Incluye fabricantes de plantillas.",Ocupaciones de producción
"Patternmakers, Metal and Plastic",3,"Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",Production Occupations,51-4062.00,"Fabricantes de patrones, metal y plástico","Ponga, máquina, ajuste y ensambleas y piezas a patrones de fundición de metal o plástico, cajas de núcleo o placas de coincidencia.",Ocupaciones de producción
Foundry Mold and Coremakers,2,Make or form wax or sand cores or molds used in the production of metal castings in foundries.,Production Occupations,51-4071.00,Fundición de moho y coreadores,Haga o forme cera o núcleos de arena o moldes utilizados en la producción de fundiciones de metal en fundiciones.,Ocupaciones de producción
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.",Production Occupations,51-4072.00,"Moldado, creación de coreos y máquinas de fundición, operadores y licitaciones, metal y plástico","Configurar, operar o tender a las máquinas de moldeo de metal o plástico, fundición o coreking para moldear o fundir metal o piezas termoplásticas o productos.",Ocupaciones de producción
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend more than one type of cutting or forming machine tool or robot.",Production Occupations,51-4081.00,"Múltiples instaladores de máquinas herramienta, operadores y licitaciones, metal y plástico","Configurar, operar o tender más de un tipo de máquina herramienta o robot de corte o formación.",Ocupaciones de producción
Tool and Die Makers,3,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools.",Production Occupations,51-4111.00,Fabricantes de herramientas y troqueles,"Analice las especificaciones, coloque el caldo de metal, configure y opere máquinas herramientas, y ajuste y ensamble piezas para hacer y reparar troqueles, herramientas de corte, plantillas, accesorios, medidores y herramientas manuales de maquinistas.",Ocupaciones de producción
"Welders, Cutters, Solderers, and Brazers",2,"Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.",Production Occupations,51-4121.00,"Soldadores, cortadores, soldadores y brascos","Use el equipo de liderazgo, corte de llama, deglire a mano o soldadura para soldar o unir componentes de metal o para llenar agujeros, hendiduras o costuras de productos de metal fabricados.",Ocupaciones de producción
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines.",Production Occupations,51-4122.00,"Soldadura, soldadura y soldadura de máquinas, operadores y licitaciones","Configurar, operar o tender soldadura, soldadura o máquinas de soldadura o robots que solucionan, se abren, soldan, soldan o tratan térmicos de productos, componentes o conjuntos de metales. Incluye trabajadores que operan cortadores láser o máquinas de haz láser.",Ocupaciones de producción
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects.",Production Occupations,51-4191.00,"Tratamiento térmico de equipos, operadores y licitaciones, metal y plástico","Configurar, operar o tender equipos de calentamiento, como hornos de tratamiento de calor, máquinas de endurecimiento de llama, máquinas de inducción, pozos de remojo o equipos de vacío para templar, endurecer, recocir o tratar objetos de metal o plástico.",Ocupaciones de producción
"Layout Workers, Metal and Plastic",2,"Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters.",Production Occupations,51-4192.00,"Trabajadores de diseño, metal y plástico","Exponga puntos de referencia y dimensiones en stock de metal o plástico o piezas de trabajo, como láminas, placas, tubos, formas estructurales, fundiciones o piezas de máquina, para su posterior procesamiento. Incluye ShipFitters.",Ocupaciones de producción
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2,"Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution.",Production Occupations,51-4193.00,"Setters, operadores y licitaciones de platear, metal y plástico","Configurar, operar o tender máquinas para recubrir productos de metal o plástico con cromo, zinc, cobre, cadmio, níquel u otro metal para proteger o decorar superficies. Típicamente, el producto que se recubre está sumergido en metal fundido o en una solución electrolítica.",Ocupaciones de producción
"Tool Grinders, Filers, and Sharpeners",2,"Perform precision smoothing, sharpening, polishing, or grinding of metal objects.",Production Occupations,51-4194.00,"Molinillos de herramientas, archivadores y afiladores","Realice suavizado de precisión, afilado, pulido o molienda de objetos metálicos.",Ocupaciones de producción
Prepress Technicians and Workers,3,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.,Production Occupations,51-5111.00,Técnicos y trabajadores de prejuicios,Formato de texto e imágenes e imágenes enviados por diseñadores y clientes en páginas terminadas que se pueden imprimir. Incluye composición digital y de fotos. Puede producir placas de impresión.,Ocupaciones de producción
Printing Press Operators,2,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.",Production Occupations,51-5112.00,Operadores de imprenta,"Configurar y operar digitales, tipos literarios, litográficos, flexográficos, graves u otras máquinas de impresión. Incluye prensas de impresión compensada a corto plazo.",Ocupaciones de producción
Print Binding and Finishing Workers,2,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,Production Occupations,51-5113.00,Imprimir trabajadores vinculantes y acabados,Atrae libros y otras publicaciones o termine los productos impresos a mano o a la máquina. Puede configurar máquinas de encuadernación y finalización.,Ocupaciones de producción
Laundry and Dry-Cleaning Workers,1,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles.",Production Occupations,51-6011.00,Lavandería y trabajadores de limpieza en seco,"Operar o lavar o lavar o limpieza de máquinas en seco para lavar o artículos de limpieza en seco o artículos para el hogar, como prendas de tela, gamuza, cuero, pieles, mantas, cortinas, ropa de cama, alfombras y alfombras. Incluye observadores y tintoreros de estos artículos.",Ocupaciones de producción
"Pressers, Textile, Garment, and Related Materials",1,Press or shape articles by hand or machine.,Production Occupations,51-6021.00,"Prensas, textiles, prendas de vestir y materiales relacionados",Presione o dar forma a los artículos a mano o a la máquina.,Ocupaciones de producción
Sewing Machine Operators,1,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products.",Production Occupations,51-6031.00,Operadores de máquinas de coser,"Operar o tender máquinas de costura para unirse, reforzar, decorar o realizar operaciones de costura relacionadas en la fabricación de prendas de prenda o productos no jodidos.",Ocupaciones de producción
Shoe and Leather Workers and Repairers,2,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools.",Production Occupations,51-6041.00,Trabajadores y reparadores de zapatos y cuero,"Construya, decora o repara productos de cuero y cuero, como equipaje, zapatos y sillas de montar. Puede usar herramientas manuales.",Ocupaciones de producción
Shoe Machine Operators and Tenders,2,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.",Production Occupations,51-6042.00,Operadores y licitaciones de la máquina,"Opere o cuidan una variedad de máquinas para unirse, decorar, reforzar o terminar zapatos y piezas de zapatos.",Ocupaciones de producción
"Sewers, Hand",2,"Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.",Production Occupations,51-6051.00,"Alcantarillas, mano","Coser, unirse, reforzar o terminar, generalmente con aguja e hilo, una variedad de artículos fabricados. Incluye tejedores y costers.",Ocupaciones de producción
"Tailors, Dressmakers, and Custom Sewers",2,"Design, make, alter, repair, or fit garments.",Production Occupations,51-6052.00,"Sastres, setsmakers y alcantarillas personalizadas","Diseñar, hacer, alterar, reparar o ajustar prendas.",Ocupaciones de producción
Textile Bleaching and Dyeing Machine Operators and Tenders,2,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers.",Production Occupations,51-6061.00,Operadores y licitadores de máquinas de blanqueo y teñido textil,"Operar o tender máquinas para blanquear, encoger, lavar, tinte o acabar textiles o fibras sintéticas o de vidrio.",Ocupaciones de producción
"Textile Cutting Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines that cut textiles.",Production Occupations,51-6062.00,"Setters, operadores y licitadores de máquina textil","Configurar, operar o tender máquinas que cortan textiles.",Ocupaciones de producción
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines that knit, loop, weave, or draw in textiles.",Production Occupations,51-6063.00,"Setters, operadores y licitadores de tejido textil y tejido","Configurar, operar o tendencia a las máquinas que tejen, se enrolle, tejen o dibujen textiles.",Ocupaciones de producción
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators.",Production Occupations,51-6064.00,"Devanado textil, retorcimiento y dibujo de máquinas, operadores y licitaciones","Configurar, operar o tender máquinas que enrollan o giran los textiles; O dibujar y combinar Sliver, como lana, cáñamo o fibras sintéticas. Incluye operadores de máquinas Slubber y marco de dibujo.",Ocupaciones de producción
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2,"Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.",Production Occupations,51-6091.00,"Setters, operadores y licitaciones de extruido y formación de máquinas, fibras sintéticas y de vidrio","Configurar, operar o tender máquinas que extruyen y forman filamentos continuos de materiales sintéticos, como polímero líquido, rayón y fibra de vidrio.",Ocupaciones de producción
Fabric and Apparel Patternmakers,3,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.,Production Occupations,51-6092.00,Fabricantes de patrones de tela y ropa,Dibuje y construya conjuntos de patrones o diseños de tela maestra de precisión. También puede marcar y cortar telas y ropa.,Ocupaciones de producción
Upholsterers,2,"Make, repair, or replace upholstery for household furniture or transportation vehicles.",Production Occupations,51-6093.00,Tapiceros,"Haga, repare o reemplace la tapicería para muebles domésticos o vehículos de transporte.",Ocupaciones de producción
Cabinetmakers and Bench Carpenters,2,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.",Production Occupations,51-7011.00,Gabinetmakers y carpinteros de banco,"Cortar, dar forma y ensamblar artículos de madera o configurar y operar una variedad de máquinas de carpintería, como sierras eléctricas, unión y mortés a la superficie, cortar o formar la madera o fabricar piezas para productos de madera.",Ocupaciones de producción
Furniture Finishers,2,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",Production Occupations,51-7021.00,Finalistas de muebles,"Forma, acabado y refinate muebles dañados, desgastados o usados ​​o nuevos muebles de alto grado al color o acabado especificados.",Ocupaciones de producción
"Model Makers, Wood",3,Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.,Production Occupations,51-7031.00,"Fabricantes de modelos, madera",Construya modelos de productos de precisión de madera de tamaño completo y escala. Incluye constructores de plantillas de madera y trabajadores de loft.,Ocupaciones de producción
"Patternmakers, Wood",3,"Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.",Production Occupations,51-7032.00,"Fabricantes de patrones, madera","Planifique, diseñe y construya la unidad de madera o los patrones seccionales utilizados para formar moldes de arena para piezas de fundición.",Ocupaciones de producción
"Sawing Machine Setters, Operators, and Tenders, Wood",2,"Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers.",Production Occupations,51-7041.00,"Máquina de aserración, operadores y licitaciones, madera","Configurar, operar o tender máquinas de aserración de madera. Puede operar equipos controlados numéricamente (CNC) de la computadora. Incluye aserradores principales.",Ocupaciones de producción
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2,"Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate computer numerically controlled (CNC) equipment.",Production Occupations,51-7042.00,"Setters, operadores y licitaciones de máquinas de carpintería, excepto aserrado","Configurar, operar o cuidar las máquinas de carpintería, como prensas de perforación, tornos, formas, enrutadores, lijadoras, cepilladores y máquinas de clavado de madera. Puede operar equipos controlados numéricamente (CNC) de la computadora.",Ocupaciones de producción
Nuclear Power Reactor Operators,3,"Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.",Production Occupations,51-8011.00,Operadores de reactores de energía nuclear,"Operar o controlar los reactores nucleares. Mueva las barras de control, inicie y detenga el equipo, monitoree y ajuste los controles, y registre los datos en los registros. Implementar procedimientos de emergencia cuando sea necesario. Puede responder a las anormalidades, determinar la causa y recomendar la acción correctiva.",Ocupaciones de producción
Power Distributors and Dispatchers,3,"Coordinate, regulate, or distribute electricity or steam.",Production Occupations,51-8012.00,Distribuidores de energía y despachadores,"Coordinar, regular o distribuir electricidad o vapor.",Ocupaciones de producción
Power Plant Operators,2,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.",Production Occupations,51-8013.00,Operadores de plantas de energía,"Controlar, operar o mantener maquinaria para generar energía eléctrica. Incluye operadores de equipos auxiliares.",Ocupaciones de producción
Biomass Plant Technicians,2,Control and monitor biomass plant activities and perform maintenance as needed.,Production Occupations,51-8013.03,Técnicos de plantas de biomasa,Controle y monitoree las actividades de la planta de biomasa y realice el mantenimiento según sea necesario.,Ocupaciones de producción
Hydroelectric Plant Technicians,3,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.",Production Occupations,51-8013.04,Técnicos de plantas hidroeléctricas,"Monitorear y controlar actividades asociadas con la generación de energía hidroeléctrica. Opere equipos de plantas, como turbinas, bombas, válvulas, puertas, ventiladores, tableros de control eléctrico y bancos de baterías. Monitoree la operación y el rendimiento del equipo y realice los ajustes necesarios para garantizar un rendimiento óptimo. Realice el mantenimiento y reparación del equipo según sea necesario.",Ocupaciones de producción
Stationary Engineers and Boiler Operators,3,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.",Production Occupations,51-8021.00,Ingenieros estacionarios y operadores de calderas,"Opere o mantenga motores estacionarios, calderas u otros equipos mecánicos para proporcionar servicios públicos para edificios o procesos industriales. Opere equipos como máquinas de vapor, generadores, motores, turbinas y calderas de vapor.",Ocupaciones de producción
Water and Wastewater Treatment Plant and System Operators,3,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",Production Occupations,51-8031.00,Planta de tratamiento de agua y aguas residuales y operadores del sistema,"Operar o controlar un proceso o sistema completo de máquinas, a menudo mediante el uso de tableros de control, para transferir o tratar agua o aguas residuales.",Ocupaciones de producción
Chemical Plant and System Operators,2,Control or operate entire chemical processes or system of machines.,Production Occupations,51-8091.00,Operadores de plantas químicas y sistemas,Controlar u operar procesos químicos completos o sistema de máquinas.,Ocupaciones de producción
Gas Plant Operators,3,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,Production Occupations,51-8092.00,Operadores de plantas de gas,Distribuir o procesar gas para compañías de servicios públicos y otros controlando a los compresores para mantener presiones especificadas en las tuberías principales.,Ocupaciones de producción
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,"Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",Production Occupations,51-8093.00,"Operadores del sistema de bombas de petróleo, operadores de refinería y medidores","Operar o controlar las unidades de refinación o procesamiento de petróleo. Puede especializarse en controlar los sistemas de colectores y bombeo, medir o probar aceite en tanques de almacenamiento, o regular el flujo de aceite en tuberías.",Ocupaciones de producción
Biofuels Processing Technicians,2,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.",Production Occupations,51-8099.01,Técnicos de procesamiento de biocombustibles,"Calcule, mida, cargue, mezcle y procese la materia prima refinada con aditivos en los vasos de fermentación o proceso de reacción y monitoree el proceso de producción. Realice y mantenga registros de mantenimiento de la planta, reparaciones e inspecciones de seguridad.",Ocupaciones de producción
Chemical Equipment Operators and Tenders,2,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",Production Occupations,51-9011.00,Operadores y licitaciones de equipos químicos,"Operar o tender el equipo para controlar los cambios o reacciones químicas en el procesamiento de productos industriales o de consumo. El equipo utilizado incluye devulcanizadores, hervidores de jackete de vapor y recipientes de reactores.",Ocupaciones de producción
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",Production Occupations,51-9012.00,"Separar, filtrar, aclarar, precipitar y poner a cabo máquinas, operadores y licitaciones","Configurar, operar o cuidar el flujo continuo o el equipo de tipo IVA; presas de filtro; pantallas de agitador; centrifugadoras; tubos de condensador; tanques precipitantes, fermentados o evaporantes; Torres de fregado; o imágenes de lotes. Estas máquinas extraen, clasifican o separan líquidos, gases o sólidos de otros materiales para recuperar un producto refinado. Incluye operadores de equipos de procesamiento de lácteos.",Ocupaciones de producción
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",Production Occupations,51-9021.00,"Aplator, molienda y pulido, operadores y licitadores","Configurar, operar o tender máquinas para aplastar, moler o pulir materiales, como carbón, vidrio, granos, piedra, comida o goma.",Ocupaciones de producción
"Grinding and Polishing Workers, Hand",1,"Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",Production Occupations,51-9022.00,"Molilla y pulido de trabajadores, mano","Muela, arena o pulir, usando herramientas manuales o herramientas eléctricas de mano, una variedad de metal, madera, piedra, arcilla, plástico o objetos de vidrio. Incluye cotizadores, buffers y finalistas.",Ocupaciones de producción
