Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textielwikkeling, draaien en tekenen van machine -setters, operators en aanbestedingen",2,"Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators.","Machines instellen, bedienen of verzorgen die textiel winden of draaien; Of tekenen en combineer stukje, zoals wol, hennep of synthetische vezels. Bevat Slubber Machine en tekenframe -operators.",Production Occupations,Productieberoepen,51-6064.00
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruderen en vormen van machine -setters, operators en aanbestedingen, synthetische en glasvezels",2,"Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.","Machines instellen, bedienen of verzorgen die continue filamenten extruderen en vormen van synthetische materialen, zoals vloeibaar polymeer, rayon en glasvezel.",Production Occupations,Productieberoepen,51-6091.00
Fabric and Apparel Patternmakers,Stof- en kledingpatroonmakers,3,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.,Teken en construeer sets van precisie masterstofpatronen of lay -outs. Kan ook stoffen en kleding markeren en knippen.,Production Occupations,Productieberoepen,51-6092.00
Upholsterers,Stoffeerders,2,"Make, repair, or replace upholstery for household furniture or transportation vehicles.","Maak, repareer of vervang bekleding voor huishoudelijke meubels of transportvoertuigen.",Production Occupations,Productieberoepen,51-6093.00
Cabinetmakers and Bench Carpenters,Cabinetmakers en bankstimmerlieden,2,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.","Snijd, vorm en monteer houten artikelen of zet een verscheidenheid aan houtbewerkingsmachines op en bedient en bedient en bedient ze, zoals stroomzagen, meeners en mortisers naar oppervlak, snijden of vormgeven of onderdelen voor houtproducten fabriceren.",Production Occupations,Productieberoepen,51-7011.00
Furniture Finishers,Meubels finishers,2,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.","Vorm, afwerking en opnieuw afgewerkte beschadigde, versleten of gebruikte meubels of nieuwe hoogwaardige meubels tot gespecificeerde kleur of afwerking.",Production Occupations,Productieberoepen,51-7021.00
"Model Makers, Wood","Modelmakers, hout",3,Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.,Construeer full-size en schaal houten precisiemodellen van producten. Inclusief hout jigbouwers en loftwerkers.,Production Occupations,Productieberoepen,51-7031.00
"Patternmakers, Wood","Patroonmakers, hout",3,"Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.","Plan, lay out en construeer houten eenheid of sectionele patronen die worden gebruikt bij het vormen van zandvormen voor gietstukken.",Production Occupations,Productieberoepen,51-7032.00
"Sawing Machine Setters, Operators, and Tenders, Wood","Zaagmachine -setters, operators en aanbestedingen, hout",2,"Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers.","Woodzaagmachines instellen, bedienen of verzorgen. Kan computer numeriek gecontroleerde (CNC) apparatuur bedienen. Inclusief hoofdzaagers.",Production Occupations,Productieberoepen,51-7041.00
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking machine -setters, operators en aanbestedingen, behalve zagen",2,"Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate computer numerically controlled (CNC) equipment.","Woodworking machines instellen, bedienen of verzorgen, zoals boorpersen, draaibanken, shapers, routers, Sanders, Planers en Wood Nailing Machines. Kan computer numeriek gecontroleerde (CNC) apparatuur bedienen.",Production Occupations,Productieberoepen,51-7042.00
Nuclear Power Reactor Operators,Kernvermogenreactoroperators,3,"Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.","Werknucleaire reactoren bedienen of beheersen. Verplaats bedieningsstangen, start en stop apparatuur, controleer en stel bedieningselementen aan en registreer gegevens in logboeken. Implementeer noodprocedures indien nodig. Kan reageren op afwijkingen, de oorzaak bepalen en corrigerende maatregelen aanbevelen.",Production Occupations,Productieberoepen,51-8011.00
Power Distributors and Dispatchers,Power -distributeurs en dispatchers,3,"Coordinate, regulate, or distribute electricity or steam.","Coördineren, reguleren of verspreiden van elektriciteit of stoom.",Production Occupations,Productieberoepen,51-8012.00
Power Plant Operators,Operators van energiecentrales,2,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.","Controleer, bedient of onderhoud machines om elektrisch vermogen te genereren. Inclusief operatoren van hulpapparatuur.",Production Occupations,Productieberoepen,51-8013.00
Biomass Plant Technicians,Biomassablantentechnici,2,Control and monitor biomass plant activities and perform maintenance as needed.,Beheersing en controleer biomassa -fabrieksactiviteiten en voer onderhoud uit indien nodig.,Production Occupations,Productieberoepen,51-8013.03
Hydroelectric Plant Technicians,Hydro -elektrische plantentechnici,3,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.","Monitor- en controleactiviteiten geassocieerd met het genereren van waterkracht. Bedien fabrieksapparatuur, zoals turbines, pompen, kleppen, poorten, ventilatoren, elektrische bedieningsborden en batterijbanken. Bewaak de werking van de apparatuur en de prestaties en maak de nodige aanpassingen om optimale prestaties te garanderen. Voer apparatuur onderhoud en reparatie uit indien nodig.",Production Occupations,Productieberoepen,51-8013.04
Stationary Engineers and Boiler Operators,Stationaire ingenieurs en keteloperators,3,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.","Stationaire motoren, ketels of andere mechanische apparatuur bedienen of onderhouden om nutsbedrijven te bieden voor gebouwen of industriële processen. Gebruik apparatuur zoals stoommachines, generatoren, motoren, turbines en stoomketels.",Production Occupations,Productieberoepen,51-8021.00
Water and Wastewater Treatment Plant and System Operators,Water- en afvalwaterzuiveringsinstallatie en systeemoperators,3,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.","Werk een volledig proces of systeem van machines, vaak door het gebruik van controleborden, om water of afvalwater over te dragen of te behandelen.",Production Occupations,Productieberoepen,51-8031.00
Chemical Plant and System Operators,Chemische fabrieks- en systeembeheerders,2,Control or operate entire chemical processes or system of machines.,Controle of bedienen volledige chemische processen of systeem van machines.,Production Occupations,Productieberoepen,51-8091.00
Gas Plant Operators,Gasinstallaties exploitanten,3,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,Distribueer of verwerk gas voor nutsbedrijven en anderen door compressoren te controleren om gespecificeerde druk op hoofdpijpleidingen te handhaven.,Production Occupations,Productieberoepen,51-8092.00
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleumpompsysteemoperators, raffinaderijoperators en meterers",2,"Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.","Petroleumraffinage of verwerkingseenheden bedienen of beheersen. Kan gespecialiseerd zijn in het regelen van spruitstuk- en pompsystemen, het meten of testen van olie in opslagtanks of het reguleren van de oliestroom in pijpleidingen.",Production Occupations,Productieberoepen,51-8093.00
Biofuels Processing Technicians,Biofuels verwerkingstechnici,2,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.","Bereken, meten, laden, mengen en verwerken geraffineerde grondstof met additieven in fermentatie- of reactieprocesvaten en het volgen van het productieproces. Voer de registers uit van fabrieksonderhoud, reparaties en veiligheidsinspecties.",Production Occupations,Productieberoepen,51-8099.01
Chemical Equipment Operators and Tenders,Operators en aanbesteders van chemische apparatuur,2,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.","Werk of verzendt apparatuur om chemische veranderingen of reacties bij de verwerking van industriële of consumentenproducten te regelen. Gebruikte apparatuur omvat devulcanizers, ketels met stoomverbinding en reactorschepen.",Production Occupations,Productieberoepen,51-9011.00
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Scheiden, filteren, verduidelijken, neerslaan en nog steeds machine -setters, operators en aanbestedingen",2,"Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.","Instellen, bedienen of verzorgen continue stroom- of btw-type apparatuur; filterpersen; Shaker -schermen; Centrifuge; condensorbuizen; neerslaan, gisten of verdampingstanks; schrobben; of batch stills. Deze machines extraheren, sorteren of scheiden vloeistoffen, gassen of vaste stoffen van andere materialen om een ​​verfijnd product te herstellen. Bevat operators van zuivelverwerkingsapparatuur.",Production Occupations,Productieberoepen,51-9012.00
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Beperking, slijp- en polijstmachine -setters, operators en aanbestedingen",2,"Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.","Machines opzetten, bedienen of verzorgen om materialen te verpletteren, te malen of polijsten, zoals kolen, glas, graan, steen, voedsel of rubber.",Production Occupations,Productieberoepen,51-9021.00
"Grinding and Polishing Workers, Hand","Werknemers slijpen en polijsten, hand",1,"Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.","Maal, zand of polijsten, met behulp van handgereedschap of handgereedschap, een verscheidenheid aan metaal, hout, steen, klei, plastic of glazen objecten. Inclusief chippers, buffers en finishers.",Production Occupations,Productieberoepen,51-9022.00
"Mixing and Blending Machine Setters, Operators, and Tenders","Machine -setters, operators en aanbestedingen mengen en mengen",2,"Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.","Machines instellen, bedienen of verzorgen om materialen te mengen of te mengen, zoals chemicaliën, tabak, vloeistoffen, kleurenpigmenten of explosieve ingrediënten.",Production Occupations,Productieberoepen,51-9023.00
"Cutters and Trimmers, Hand","Snijders en trimmers, hand",1,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.","Gebruik handgereedschap of draagbare elektrisch gereedschap om verschillende geproduceerde items te knippen en te knippen, zoals tapijt, stof, steen, glas of rubber.",Production Occupations,Productieberoepen,51-9031.00
"Cutting and Slicing Machine Setters, Operators, and Tenders","Machine -setters, operators en aanbestedingen snijden en snijden",2,"Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.","Machines instellen, bedienen of verzorgen die materialen snijden of snijden, zoals glas, steen, kurk, rubber, tabak, voedsel, papier of isolerend materiaal.",Production Occupations,Productieberoepen,51-9032.00
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Machine -setters, operators en aanbestedingen uit het extroduceren, vormen, drukken en compacteren",2,"Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.","Machines instellen, bedienen of verzorgen, zoals glasvormende machines, plooienmachines en knolmachines, om producten zoals glaswerk, voedsel, voedsel, rubber, zeep, baksteen, tegel, klei, was, was, tabak of cosmetica vorm te geven en te vormen en te vormen en te vormen .",Production Occupations,Productieberoepen,51-9041.00
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Oven-, oven-, oven-, droger- en keteloperators en aanbestedingen",2,"Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.","Werk of verzend verwarmingsapparatuur dan basismetaal-, plastic- of voedselverwerkingsapparatuur. Bevat activiteiten zoals gloeiend glas, droog hout, het genezen van rubber, het verwijderen van vocht uit materialen of kokende zeep.",Production Occupations,Productieberoepen,51-9051.00
"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspecteurs, testers, sorteerders, samplers en wegers",2,"Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.","Inspecteer, testen, sorteren, sorteren of weeg niet -agrarische grondstoffen of verwerkt, bewerkte, gefabriceerde of geassembleerde onderdelen of producten op defecten, slijtage en afwijkingen van specificaties. Kan precisie -meetinstrumenten en complexe testapparatuur gebruiken.",Production Occupations,Productieberoepen,51-9061.00
Jewelers and Precious Stone and Metal Workers,Juweliers en kostbare steen- en metaalarbeiders,3,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems.","Ontwerp, fabriceer, aanpassen, repareren of beoordelen sieraden, goud, zilver, andere edelmetalen of edelstenen.",Production Occupations,Productieberoepen,51-9071.00
Gem and Diamond Workers,Edelstenen en diamantarbeiders,3,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.","Fabriceer, voltooi of evalueer de kwaliteit van edelstenen en diamanten die worden gebruikt in sieraden of industriële gereedschappen.",Production Occupations,Productieberoepen,51-9071.06
Dental Laboratory Technicians,Tandheelkundige laboratoriumtechnici,2,Construct and repair full or partial dentures or dental appliances.,Construeer en repareer volledige of gedeeltelijke prothesen of tandheelkundige apparaten.,Production Occupations,Productieberoepen,51-9081.00
Medical Appliance Technicians,Technici voor medische apparaten,3,"Construct, maintain, or repair medical supportive devices such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.","Medische ondersteunende apparaten zoals beugels, orthesen en prothetische apparaten, gewrichten, boogsteunen en andere chirurgische en medische apparaten construeren, onderhouden of repareren.",Production Occupations,Productieberoepen,51-9082.00
Ophthalmic Laboratory Technicians,Oogheelkundige laboratoriumtechnici,2,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.","Snijden, malen en Poolse bril, contactlenzen of andere precisie -optische elementen. Monteer en monteer lenzen in frames of verwerk andere optische elementen. Inclusief precisielens polijstmachines of slijpmachines, centrale edgers en lensverheffers.",Production Occupations,Productieberoepen,51-9083.00
Packaging and Filling Machine Operators and Tenders,Verpakkings- en vullende machine -operators en -sders,2,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.,Machines bedienen of verzorgen om industriële of consumentenproducten voor te bereiden op opslag of verzending. Inclusief Cannery -werknemers die voedselproducten inpakken.,Production Occupations,Productieberoepen,51-9111.00
"Painting, Coating, and Decorating Workers","Werknemers schilderen, coaten en decoreren",1,"Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather.","Verf-, jas- of decoreer artikelen, zoals meubels, glas, bordartikelen, aardewerk, sieraden, speelgoed, boeken of leer.",Production Occupations,Productieberoepen,51-9123.00
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Coating-, schilder- en spuitmachine -setters, operators en aanbestedingen",2,"Set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials. Includes painters of transportation vehicles such as painters in auto body repair facilities.","Zet, bedienen of neigen spuiten of rolmachines om een ​​van een van een van een van een van een van een van de producten te coaten of te schilderen, waaronder glaswerk, doek, keramiek, metaal, plastic, papier of hout, met lak, zilver, koper, rubber, vernis, Glazuur, email, olie of roestbestendige materialen. Inclusief schilders van transportvoertuigen zoals schilders in autoreparatie -reparaties.",Production Occupations,Productieberoepen,51-9124.00
Semiconductor Processing Technicians,Halfgeleiderverwerkingstechnici,2,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.","Voer een of alle volgende functies uit bij de vervaardiging van elektronische halfgeleiders: laad halfgeleidermateriaal in oven; Zaag gevormde ingots in segmenten; het individuele segment in de kristalgroeikamer en monitorcontroles laden; Zoek de kristalas in ingot met behulp van röntgenapparatuur en zagen ingots in wafels; en schoon, polijsten en laadwafels in een reeks speciale ovens, chemische baden en apparatuur die wordt gebruikt om circuits te vormen en geleidende eigenschappen te veranderen.",Production Occupations,Productieberoepen,51-9141.00
Photographic Process Workers and Processing Machine Operators,Fotografische procesmedewerkers en verwerkingsmachine -operators,2,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.,"Werk uitvoeren die betrokken zijn bij het ontwikkelen en verwerken van fotografische afbeeldingen van film of digitale media. Kan precisietaken uitvoeren, zoals het bewerken van fotografische negatieven en prints.",Production Occupations,Productieberoepen,51-9151.00
Computer Numerically Controlled Tool Operators,Computer numeriek gecontroleerde gereedschapsoperators,3,"Operate computer-controlled tools, machines, or robots to machine or process parts, tools, or other work pieces made of metal, plastic, wood, stone, or other materials. May also set up and maintain equipment.","Gebruik computergestuurde gereedschappen, machines of robots naar machine- of procesonderdelen, gereedschap of andere werkstukken gemaakt van metaal, plastic, hout, steen of andere materialen. Kan ook apparatuur opzetten en onderhouden.",Production Occupations,Productieberoepen,51-9161.00
Computer Numerically Controlled Tool Programmers,Computer numeriek gecontroleerde gereedschapsprogrammeurs,3,"Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment.","Ontwikkel programma's om bewerking of verwerking van materialen te regelen door automatische machinetools, apparatuur of systemen. Kan ook apparatuur opzetten, bedienen of onderhouden.",Production Occupations,Productieberoepen,51-9162.00
Adhesive Bonding Machine Operators and Tenders,Lijmbindend machine -operators en -sders,2,"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.","Bedien of verzorgen bindingsmachines die lijmen gebruiken om items aan te sluiten voor verdere verwerking of om een ​​voltooid product te vormen. Processen omvatten het samenvoegen van fineerbladen in multiplex; Papier lijmen; Of het verbinden van rubber- en rubberen stofonderdelen, plastic, gesimuleerd leer of andere materialen.",Production Occupations,Productieberoepen,51-9191.00
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operators en aanbesteders van schoonmaak-, was- en metalen bestelapparatuur",2,"Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities.","Bedien of verzorgen machines om producten te wassen of te reinigen, zoals vaten of vaten, glazen items, tinnen plaat, voedsel, pulp, kolen, plastic of rubber, om onzuiverheden te verwijderen.",Production Occupations,Productieberoepen,51-9192.00
Cooling and Freezing Equipment Operators and Tenders,Operators en aanbesteders van koel- en vriesapparatuur,2,"Operate or tend equipment such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals.","Bedien of verzorgen apparatuur zoals koel- en vrieseenheden, koelkasten, batch -diepvriezers en invriezende tunnels, om producten, voedsel, bloedplasma en chemicaliën te koelen of te bevriezen.",Production Occupations,Productieberoepen,51-9193.00
Etchers and Engravers,Etchers en graveurs,2,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers.","Grave of etsenmetaal, hout, rubber of andere materialen. Bevat werknemers zoals Etcher-circuit processors, pantograafgravers en zijden schermetsen.",Production Occupations,Productieberoepen,51-9194.00
"Molders, Shapers, and Casters, Except Metal and Plastic","Molders, Shapers en Casters, behalve metaal en plastic",2,"Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.","Schimmel, vorm, vorm, gegoten of snijden producten zoals voedselproducten, beeldjes, tegels, pijpen en kaarsen bestaande uit klei, glas, gips, beton, steen of combinaties van materialen.",Production Occupations,Productieberoepen,51-9195.00
"Stone Cutters and Carvers, Manufacturing","Steensnijders en carvers, productie",2,Cut or carve stone according to diagrams and patterns.,Snijd of snijd steen volgens diagrammen en patronen.,Production Occupations,Productieberoepen,51-9195.03
"Glass Blowers, Molders, Benders, and Finishers","Glazen blazers, molders, buigers en finishers",2,Shape molten glass according to patterns.,Vorm gesmolten glas volgens patronen.,Production Occupations,Productieberoepen,51-9195.04
"Potters, Manufacturing","Pottenbakkers, productie",3,"Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.","Gebruik productiemachines zoals Pug Mill, Jigger Machine of Potter's Wheel om klei te verwerken bij de productie van keramische, aardewerk- en steengoedproducten.",Production Occupations,Productieberoepen,51-9195.05
"Paper Goods Machine Setters, Operators, and Tenders","Paper goederen machine -setters, operators en aanbestedingen",2,"Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products.","Papiergoederen machines instellen, bedienen of verzorgen die verschillende functies uitvoeren, zoals het converteren, zagen, inschakelen, banden, inpakken, boksen, stiksels, vormen of afdichtpapier of karterbladen in producten.",Production Occupations,Productieberoepen,51-9196.00
Tire Builders,Bandenbouwers,2,Operate machines to build tires.,Gebruik machines om banden te bouwen.,Production Occupations,Productieberoepen,51-9197.00
Helpers--Production Workers,Helpers-Productiewerkers,2,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",Help productiewerkers door taken uit te voeren die minder vaardigheden vereisen. Taken omvatten het leveren of vasthouden van materialen of gereedschap en het reinigen van werkgebied en apparatuur.,Production Occupations,Productieberoepen,51-9198.00
Aircraft Cargo Handling Supervisors,Vliegtuigenafhandelingstoezichthouders,2,"Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters.","Begeleide en coördineer de activiteiten van grondpersoneel bij het laden, lossen, beveiligen en ensceneren van vliegtuigen of bagage. Kan de hoeveelheid en oriëntatie van lading bepalen en het centrum van de zwaartekracht van vliegtuigen berekenen. Kan vliegtuigen begeleiden als lid van de cockpitbemanning en de lading volgen en verwerken tijdens de vlucht, en assistent en korte passagiers over veiligheids- en noodprocedures. Inclusief loadmasters.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-1041.00
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","Eerste lijn supervisors van helpers, arbeiders en materiële verhuizers, hand",2,"Directly supervise and coordinate the activities of helpers, laborers, or material movers, hand.","Direct toezicht houden op en coördineren de activiteiten van helpers, arbeiders of materiële verhuizers, hand.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-1042.00
Recycling Coordinators,Recyclingcoördinatoren,2,Supervise curbside and drop-off recycling programs for municipal governments or private firms.,Houd toezicht op stoeprand- en drop-off recyclingprogramma's voor gemeentelijke overheden of particuliere bedrijven.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-1042.01
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Eerste lijn supervisors van materiaal bewegende machine- en voertuigoperators,2,Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.,Direct toezicht houden op en coördineren activiteiten van materiaal bewegende machine- en voertuigoperators en helpers.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-1043.00
First-Line Supervisors of Passenger Attendants,EERSTE LINE SUPERVISORS VAN PASSENGER BESTACHTERS,3,Supervise and coordinate activities of passenger attendants.,Begeleiden en coördineer activiteiten van passagiersbezit.,Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-1044.00
"Airline Pilots, Copilots, and Flight Engineers","Luchtvaartpiloten, copiloten en vluchtingenieurs",4,"Pilot and navigate the flight of fixed-wing aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport certificate and rating for specific aircraft type used. Includes regional, national, and international airline pilots and flight instructors of airline pilots.","Piloot en navigeer door de vlucht van vaste vleugelvliegtuigen, meestal op geplande luchtvaartroutes, voor het transport van passagiers en vracht. Vereist federaal luchttransportcertificaat en beoordeling voor het gebruik van het specifieke vliegtuigtype. Inclusief regionale, nationale en internationale piloten van luchtvaartmaatschappijen en vluchtinstructeurs van piloten van luchtvaartmaatschappijen.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-2011.00
Commercial Pilots,Commerciële piloten,3,"Pilot and navigate the flight of fixed-wing aircraft on nonscheduled air carrier routes, or helicopters. Requires Commercial Pilot certificate. Includes charter pilots with similar certification, and air ambulance and air tour pilots. Excludes regional, national, and international airline pilots.","Piloot en navigeer door de vlucht van vaste vleugelvliegtuigen op niet-geplande routes voor luchtdragers of helikopters. Vereist commercieel pilootcertificaat. Inclusief charterpiloten met vergelijkbare certificering en luchtambulance- en luchttourpiloten. Sluit regionale, nationale en internationale piloten van luchtvaartmaatschappijen uit.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-2012.00
Air Traffic Controllers,Luchtverkeersleiders,3,"Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.","Controleer luchtverkeer op en in de buurt van de luchthaven en het verplaatsing van luchtverkeer tussen hoogtesectoren en controlecentra, volgens vastgestelde procedures en beleid. Autoriseer, reguleer en controleer commerciële luchtvaartvluchten volgens de overheids- of bedrijfsvoorschriften om de vluchtveiligheid te versnellen en te waarborgen.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-2021.00
Airfield Operations Specialists,Airfield Operations Specialists,3,"Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel, dispatching, using airfield landing and navigational aids, implementing airfield safety procedures, monitoring and maintaining flight records, and applying knowledge of weather information.","Zorg voor de veilige start en landing van commerciële en militaire vliegtuigen. Taken omvatten de coördinatie tussen luchtbeheersingscontrole en onderhoudspersoneel, verzending, het gebruik van luchtveld- en navigatiehulpmiddelen, het implementeren van veiligheidsprocedures voor vliegveld, het bewaken en bijhouden van vluchtgegevens en het toepassen van kennis van weersinformatie.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-2022.00
Flight Attendants,Stewardessen,2,"Monitor safety of the aircraft cabin. Provide services to airline passengers, explain safety information, serve food and beverages, and respond to emergency incidents.","Bewaak de veiligheid van de vliegtuigcabine. Diensten verlenen aan passagiers van luchtvaartmaatschappijen, leg de veiligheidsinformatie uit, serveer voedsel en dranken en reageer op noodincidenten.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-2031.00
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance -chauffeurs en bedienden, behalve medische noodhulptechnici",2,"Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients.","Rijd ambulance of assisteer ambulance -chauffeur bij het vervoeren van zieke, gewonde of herstellende personen. Helpen bij het opheffen van patiënten.",Transportation and Material Moving Occupations,Transport en materiële bewegende beroepen,53-3011.00
