Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
"Grinding and Polishing Workers, Hand",1,"Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",Production Occupations,51-9022.00,"Schleif- und Polierarbeiter, Hand","Schleifen, Sand oder Polituren mit Handwerkzeugen oder Handwerkzeugen, eine Vielzahl von Metall-, Holz-, Stein-, Ton-, Plastik- oder Glasobjekten. Beinhaltet Chipper, Puffer und Finisher.",Produktionsberufe
"Mixing and Blending Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",Production Occupations,51-9023.00,"Misch- und Mischungsmaschinen -Setter, Operatoren und Angebote","Maschinen einrichten, bedienen oder tendieren, um Materialien wie Chemikalien, Tabak, Flüssigkeiten, Farbpigmente oder explosive Zutaten zu mischen oder zu mischen.",Produktionsberufe
"Cutters and Trimmers, Hand",1,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",Production Occupations,51-9031.00,"Cutter und Trimmer, Hand","Verwenden Sie Handwerkzeuge oder Handwerkzeuge, um eine Vielzahl von hergestellten Gegenständen wie Teppich, Stoff, Stein, Glas oder Gummi zu schneiden und zu schneiden.",Produktionsberufe
"Cutting and Slicing Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.",Production Occupations,51-9032.00,"Schneiden und Schneiden von Maschinensätzen, Operatoren und Ausschreibungen","Maschinen einrichten, bedienen oder tendieren, die Materialien wie Glas, Stein, Kork, Gummi, Tabak, Lebensmittel, Papier oder Isoliermaterial schneiden oder in Scheiben schneiden.",Produktionsberufe
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",Production Occupations,51-9041.00,"Extrudieren, Bildung, Pressen und Verdichtung Maschinensetzer, Operatoren und Ausschreibungen","Maschinen einrichten, bedienen oder tendieren oder tendieren, wie Glasbildungsmaschinen, Ploddermaschinen und Knollenmaschinen, um Produkte wie Glaswaren, Lebensmittel, Gummi, Seife, Ziegel, Fliesen, Ton, Wachs, Tabak oder Kosmetik zu formen und zu bilden .",Produktionsberufe
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,"Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.",Production Occupations,51-9051.00,"Ofen-, Ofen-, Ofen-, Trockner- und Kesselbetreiber und -angebote","Betätigen oder neigen Sie zu anderen Heizgeräten als Basismetall-, Kunststoff- oder Lebensmittelverarbeitungsgeräten. Beinhaltet Aktivitäten wie Glühglässe, Trocknungsholz, Gummiheilung, Entfernen von Feuchtigkeit aus Materialien oder kochende Seife.",Produktionsberufe
"Inspectors, Testers, Sorters, Samplers, and Weighers",2,"Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",Production Occupations,51-9061.00,"Inspektoren, Tester, Sortierer, Probene und Wiegen","Überprüfen, testen, sortieren, nicht landwirtschaftliche Rohstoffe oder verarbeitete, bearbeitete, hergestellte oder montierte Teile oder Produkte für Defekte, Verschleiß und Abweichungen von den Spezifikationen untersuchen. Kann Präzisionsmessinstrumente und komplexe Testgeräte verwenden.",Produktionsberufe
Jewelers and Precious Stone and Metal Workers,3,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems.",Production Occupations,51-9071.00,Juweliere und kostbare Stein- und Metallarbeiter,"Design, Herstellung, Anpassung, Reparatur oder Bewertung von Schmuck, Gold, Silber, anderen Edelmetallen oder Edelsteinen.",Produktionsberufe
Gem and Diamond Workers,3,"Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.",Production Occupations,51-9071.06,Edelstein- und Diamantarbeiter,"Herstellung, Fertigstellung oder Bewertung der Qualität von Edelsteinen und Diamanten, die in Schmuck oder Industriewerkzeugen verwendet werden.",Produktionsberufe
Dental Laboratory Technicians,2,Construct and repair full or partial dentures or dental appliances.,Production Occupations,51-9081.00,Zahnlabortechniker,Konstruieren und reparieren Sie vollständige oder teilweise Zahnersatz oder Zahnarztgeräte.,Produktionsberufe
Medical Appliance Technicians,3,"Construct, maintain, or repair medical supportive devices such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.",Production Occupations,51-9082.00,Medizinische Geräte -Techniker,"Konstruieren, pflegen oder reparieren Sie medizinische unterstützende Geräte wie Zahnspangen, Orthesen und prothetische Geräte, Gelenke, Bogenunterstützungen sowie andere chirurgische und medizinische Geräte.",Produktionsberufe
Ophthalmic Laboratory Technicians,2,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.",Production Occupations,51-9083.00,Ophthalmic Laboratory Technicians,"Schnitt-, Schleif- und polnische Brille, Kontaktlinsen oder andere präzise optische Elemente. Montieren und montieren Sie Objektive in Frames oder verarbeiten Sie andere optische Elemente. Beinhaltet Präzisions-Objektivpolierer oder Mahlen, Center-Edgers und Objektivmontage.",Produktionsberufe
Packaging and Filling Machine Operators and Tenders,2,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.,Production Occupations,51-9111.00,Verpackungs- und Füllmaschinenbetreiber und -angebote,"Betreiben oder tendieren Sie Maschinen, um Industrie- oder Konsumgüter für die Lagerung oder den Versand vorzubereiten. Beinhaltet Cannery -Mitarbeiter, die Lebensmittel packen.",Produktionsberufe
"Painting, Coating, and Decorating Workers",1,"Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather.",Production Occupations,51-9123.00,"Malen, Beschichtung und Dekoration von Arbeitern","Malen-, Mantel- oder Dekorieren Sie Artikel wie Möbel, Glas, Platten, Keramik, Schmuck, Spielzeug, Bücher oder Leder.",Produktionsberufe
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials. Includes painters of transportation vehicles such as painters in auto body repair facilities.",Production Occupations,51-9124.00,"Beschichtung, Malen und Sprühmaschinen, Operatoren und Ausschreibungen","Einrichten, bedienen oder neigen dazu, Maschinen zu sprühen oder zu rollen, um eine Vielzahl von Produkten zu beschichten oder zu malen, darunter Glaswaren, Stoff, Keramik, Metall, Plastik, Papier oder Holz, mit Lack, Silber, Kupfer, Gummi, Lack Glasur, Schmelz, Öl oder rostbesichtige Materialien. Beinhaltet Maler von Transportfahrzeugen wie Maler in Autokörperreparaturanlagen.",Produktionsberufe
Semiconductor Processing Technicians,2,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.",Production Occupations,51-9141.00,Halbleiterverarbeitungstechniker,"Führen Sie eine oder alle folgenden Funktionen bei der Herstellung elektronischer Halbleiter aus: Last Halbleitermaterial in Ofen; Sägen, die sich zu Segmenten gebildet haben; Beladen Sie das individuelle Segment in die Kristallwachstumskammer und überwachen Sie die Kontrollen; Suchen Sie die Kristallachse mit Röntgengeräten und Sägen in Wafer in Bahn. und saubere, polnische und ladende Waffeln in eine Reihe von Spezialöfen, Chemie -Bädern und Geräte, die zur Bildung von Schaltkreisen und zur Änderung leitender Eigenschaften verwendet werden.",Produktionsberufe
Photographic Process Workers and Processing Machine Operators,2,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.,Production Occupations,51-9151.00,Fotografische Prozessarbeiter und Verarbeitungsmaschinenbetreiber,Führen Sie Arbeiten zur Entwicklung und Verarbeitung fotografischer Bilder aus Film- oder digitalen Medien durch. Kann Präzisionsaufgaben wie das Bearbeiten fotografischer Negative und Drucke ausführen.,Produktionsberufe
Computer Numerically Controlled Tool Operators,3,"Operate computer-controlled tools, machines, or robots to machine or process parts, tools, or other work pieces made of metal, plastic, wood, stone, or other materials. May also set up and maintain equipment.",Production Occupations,51-9161.00,Computergesteuerte Werkzeugbetreiber numerisch gesteuert,"Betreiben Sie computergesteuerte Werkzeuge, Maschinen oder Roboter an Maschinen- oder Prozessteilen, Werkzeugen oder andere Arbeitsstücke aus Metall, Kunststoff, Holz, Stein oder anderen Materialien. Kann auch Geräte einrichten und pflegen.",Produktionsberufe
Computer Numerically Controlled Tool Programmers,3,"Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment.",Production Occupations,51-9162.00,Computergesteuerte Toolprogrammierer numerisch gesteuert,"Entwickeln Sie Programme zur Steuerung der Bearbeitung oder Verarbeitung von Materialien durch automatische Werkzeugmaschinen, Geräte oder Systeme. Kann auch Geräte einrichten, bedienen oder pflegen.",Produktionsberufe
Adhesive Bonding Machine Operators and Tenders,2,"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.",Production Occupations,51-9191.00,Bindungsmaschinenbetreiber und -angebote,"Betreiben oder neigen dazu, Bindungsmaschinen zu betreiben, mit denen Klebstoffe zur weiteren Verarbeitung oder zur Bildung eines fertigen Produkts verbunden sind. Zu den Prozessen gehören die Verbindung von Furnierblättern in Sperrholz; Papier kleben; oder mit Gummi und gummierten Stoffteilen, Kunststoff, simuliertem Leder oder anderen Materialien verbinden.",Produktionsberufe
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2,"Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities.",Production Occupations,51-9192.00,"Reinigungs-, Wasch- und Metallfackelgerätebetreiber und -angebote","Arbeiten Sie Maschinen, um Produkte wie Fässer oder Fass, Glasgegenstände, Blechplatten, Lebensmittel, Zellstoff, Kohle, Kunststoff oder Gummi zu waschen oder zu reinigen, um Verunreinigungen zu entfernen.",Produktionsberufe
Cooling and Freezing Equipment Operators and Tenders,2,"Operate or tend equipment such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals.",Production Occupations,51-9193.00,Kühl- und Gefriergerätebetreiber und -angebote,"Betätigen oder neigen Sie aus Geräten wie Kühl- und Gefriereinheiten, Kühlschränken, Gefrierschränken und Gefriertunneln, um Produkte, Lebensmittel, Blutplasma und Chemikalien zu kühlen oder zu frieren.",Produktionsberufe
Etchers and Engravers,2,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers.",Production Occupations,51-9194.00,Radierer und Gravage,"Grab- oder Ätztall, Holz, Gummi oder andere Materialien. Beinhaltet Arbeiter wie Radierkreis-Prozessoren, Pantographen und Seidenschriftenseethalter.",Produktionsberufe
"Molders, Shapers, and Casters, Except Metal and Plastic",2,"Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.",Production Occupations,51-9195.00,"Schimmelpilze, Gestalt und Rollen, außer Metall und Kunststoff","Schimmel-, Form-, Form- oder Schnitzerprodukte wie Lebensmittel, Figuren, Fliesen, Rohre und Kerzen bestehend aus Ton, Glas, Gips, Beton, Stein oder Materialkombinationen.",Produktionsberufe
"Stone Cutters and Carvers, Manufacturing",2,Cut or carve stone according to diagrams and patterns.,Production Occupations,51-9195.03,"Steinschneider und Schnitzer, Herstellung",Stein nach Diagrammen und Mustern schnitzen oder schnitzen.,Produktionsberufe
"Glass Blowers, Molders, Benders, and Finishers",2,Shape molten glass according to patterns.,Production Occupations,51-9195.04,"Glasgebläse, Molkerei, Bieger und Finisher",Formen Sie geschmolzenes Glas nach Mustern.,Produktionsberufe
"Potters, Manufacturing",3,"Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.",Production Occupations,51-9195.05,"Töpfer, Herstellung","Betreiben Sie Produktionsmaschinen wie Mops Mill, Jigger Machine oder Potter's Rad, um Ton in der Herstellung von Keramik-, Keramik- und Steinzeugprodukten zu verarbeiten.",Produktionsberufe
"Paper Goods Machine Setters, Operators, and Tenders",2,"Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products.",Production Occupations,51-9196.00,"Papiergütermaschinen Setter, Betreiber und Angebote","Richten, Bedienung oder Tendenz von Papiergütern, die eine Vielzahl von Funktionen ausführen, wie z. B. Umwandlung, Sägen, Wellern, Streifen, Wickeln, Boxen, Nähen, Bildung oder Versiegelung von Papier- oder Pappschichten in Produkte.",Produktionsberufe
Tire Builders,2,Operate machines to build tires.,Production Occupations,51-9197.00,Reifenbauer,Betreiben Sie Maschinen zum Bau von Reifen.,Produktionsberufe
Helpers--Production Workers,2,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",Production Occupations,51-9198.00,Helfer-Produktionarbeiter,"Helfen Sie den Produktionsangestellten, indem sie Aufgaben erfüllen, die weniger Fähigkeiten erfordern. Zu den Aufgaben gehören die Lieferung oder Halten von Materialien oder Werkzeugen sowie Reinigungsbereich und Geräte.",Produktionsberufe
Aircraft Cargo Handling Supervisors,2,"Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters.",Transportation and Material Moving Occupations,53-1041.00,Flugzeugladungsbehörden der Ladung,"Überwachen und koordinieren Sie die Aktivitäten der Bodencrew beim Laden, Entladen, Sicherung und Inszenierung von Flugzeugfracht oder Gepäck. Kann die Menge und Ausrichtung von Ladung und Berechnung des Schwerpunkts des Flugzeugs bestimmen. Kann Flugzeuge als Mitglied der Flugbesatzung begleiten und Ladung im Flug bewegen und behandeln und die Passagiere bei Sicherheits- und Notfallverfahren erhalten und kurze Passagiere haben. Enthält Lastmeister.",Transport- und materielle berufliche Berufe
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2,"Directly supervise and coordinate the activities of helpers, laborers, or material movers, hand.",Transportation and Material Moving Occupations,53-1042.00,"First-Line-Supervisoren von Helfern, Arbeitern und materiellen Umzugsunternehmen, Hand","Überwachen und koordinieren Sie die Aktivitäten von Helfern, Arbeitern oder materiellen Umzugsunternehmen direkt.",Transport- und materielle berufliche Berufe
Recycling Coordinators,2,Supervise curbside and drop-off recycling programs for municipal governments or private firms.,Transportation and Material Moving Occupations,53-1042.01,Recyclingkoordinatoren,Überwachen Sie die Recyclingprogramme für die Bordsteinkante und Abgabeprogramme für kommunale Regierungen oder private Unternehmen.,Transport- und materielle berufliche Berufe
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2,Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.,Transportation and Material Moving Occupations,53-1043.00,Erstlinienaufsichtsbehörden von materiellen Maschinen und Fahrzeugbetreibern,Überwachen und koordinieren Sie die Aktivitäten von materialbewegenden Maschinen sowie Fahrzeugbetreibern und Helfern direkt.,Transport- und materielle berufliche Berufe
First-Line Supervisors of Passenger Attendants,3,Supervise and coordinate activities of passenger attendants.,Transportation and Material Moving Occupations,53-1044.00,First-Line-Aufsichtsbehörden von Passagierbegleitern,Überwachung und Koordination der Aktivitäten von Personenbegleitern.,Transport- und materielle berufliche Berufe
"Airline Pilots, Copilots, and Flight Engineers",4,"Pilot and navigate the flight of fixed-wing aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo. Requires Federal Air Transport certificate and rating for specific aircraft type used. Includes regional, national, and international airline pilots and flight instructors of airline pilots.",Transportation and Material Moving Occupations,53-2011.00,"Airline -Piloten, Copiloten und Flugingenieure","Pilot und navigieren Sie durch den Flug mit festem Flügelflugzeug, normalerweise auf geplanten Luftträgerstrecken, für den Transport von Passagieren und Fracht. Erfordert Bundeslufttransportzertifikat und Bewertung für bestimmte verwendete Flugzeugtypen. Beinhaltet regionale, nationale und internationale Fluggesellschaften und Fluglehrer von Flugpiloten.",Transport- und materielle berufliche Berufe
Commercial Pilots,3,"Pilot and navigate the flight of fixed-wing aircraft on nonscheduled air carrier routes, or helicopters. Requires Commercial Pilot certificate. Includes charter pilots with similar certification, and air ambulance and air tour pilots. Excludes regional, national, and international airline pilots.",Transportation and Material Moving Occupations,53-2012.00,Handelspiloten,"Pilot und navigieren Sie durch den Flug von Flugzeugen mit festem Flügel auf nicht geplanten Luftträger oder Hubschraubern. Benötigt ein gewerbliches Pilotenzertifikat. Beinhaltet Charterpiloten mit ähnlicher Zertifizierung sowie Flug- und Flugtour -Piloten. Ausgeschlossen regionale, nationale und internationale Fluggesellschaften.",Transport- und materielle berufliche Berufe
Air Traffic Controllers,3,"Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.",Transportation and Material Moving Occupations,53-2021.00,Fluglotsen,"Kontrolle des Flugverkehrs auf und in der Nähe des Flughafens und der Bewegung des Flugverkehrs zwischen Höhensektoren und Kontrollzentren gemäß den festgelegten Verfahren und Richtlinien. Ermächtigen, regulieren und kontrollieren kommerzielle Flugflüge gemäß den Vorschriften der Regierung oder des Unternehmens, um die Flugsicherheit zu beschleunigen und zu gewährleisten.",Transport- und materielle berufliche Berufe
Airfield Operations Specialists,3,"Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel, dispatching, using airfield landing and navigational aids, implementing airfield safety procedures, monitoring and maintaining flight records, and applying knowledge of weather information.",Transportation and Material Moving Occupations,53-2022.00,Flugfeldbetriebspezialisten,"Stellen Sie den sicheren Start und die Landung von Handels- und Militärflugzeugen sicher. Zu den Pflichten zählen die Koordination zwischen Luftverkehrskontroll- und Wartungspersonal, Versand, Verwendung von Flugfeld- und Navigationshilfen, die Implementierung von Flugfeldsicherheitsverfahren, Überwachung und Wartung von Flugaufzeichnungen sowie die Anwendung von Kenntnissen über Wetterinformationen.",Transport- und materielle berufliche Berufe
Flight Attendants,2,"Monitor safety of the aircraft cabin. Provide services to airline passengers, explain safety information, serve food and beverages, and respond to emergency incidents.",Transportation and Material Moving Occupations,53-2031.00,Flugbegleiter,"Überwachen Sie die Sicherheit der Flugzeugkabine. Bieten Sie Dienstleistungen für Fluggäste an, erläutern Sie Sicherheitsinformationen, servieren Sie Lebensmittel und Getränke und reagieren Sie auf Notfälle.",Transport- und materielle berufliche Berufe
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2,"Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients.",Transportation and Material Moving Occupations,53-3011.00,"Krankenwagenfahrer und Begleiter, außer Rettungsmedizinern","Fahren Sie den Krankenwagen oder unterstützen Sie den Krankenwagenfahrer beim Transport von kranken, verletzten oder konvaleszierenden Personen. Unterstützung beim Aufheben von Patienten.",Transport- und materielle berufliche Berufe
Driver/Sales Workers,2,"Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery.",Transportation and Material Moving Occupations,53-3031.00,Fahrer/Vertriebsarbeiter,"Fahren Sie LKW oder ein anderes Fahrzeug über etablierte Strecken oder in einem etablierten Gebiet und verkaufen oder liefern Sie Waren wie Lebensmittel, einschließlich Restaurants zum Mitnehmen, oder nehmen Sie Artikel wie gewerbliche Wäsche ab. Kann auch Bestellungen, Zahlungsvorschriften oder Aktienwaren an der Lieferung entgegennehmen.",Transport- und materielle berufliche Berufe
Heavy and Tractor-Trailer Truck Drivers,2,"Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers.",Transportation and Material Moving Occupations,53-3032.00,Schwer- und Traktor-Lkw-Treiber,Fahren Sie mit einer Kapazität von mindestens 26.001 Pfund Bruttofahrzeuggewicht (GVW) eine Sattelzugskombination oder einen LKW. Kann zum Entladen von LKW erforderlich sein. Benötigt kommerzielle Führerschein. Beinhaltet Schleppwagenfahrer.,Transport- und materielle berufliche Berufe
Light Truck Drivers,2,"Drive a light vehicle, such as a truck or van, with a capacity of less than 26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise or packages from a distribution center and deliver. May load and unload vehicle.",Transportation and Material Moving Occupations,53-3033.00,Leichte LKW -Treiber,"Fahren Sie ein leichtes Fahrzeug wie einen LKW oder Van mit einer Kapazität von weniger als 26.001 Pfund Bruttofahrzeuggewicht (GVW), hauptsächlich, um Waren oder Pakete aus einem Vertriebszentrum abzuholen und zu liefern. Kann Fahrzeug laden und entladen.",Transport- und materielle berufliche Berufe
"Bus Drivers, School",2,Drive a school bus to transport students. Ensure adherence to safety rules. May assist students in boarding or exiting.,Transportation and Material Moving Occupations,53-3051.00,"Busfahrer, Schule","Fahren Sie einen Schulbus, um Schüler zu transportieren. Sicherstellen Sie die Sicherheitsregeln. Kann Studenten im Einstieg oder Verlassen unterstützen.",Transport- und materielle berufliche Berufe
"Bus Drivers, Transit and Intercity",2,"Drive bus or motor coach, including regular route operations, charters, and private carriage. May assist passengers with baggage. May collect fares or tickets.",Transportation and Material Moving Occupations,53-3052.00,"Busfahrer, Transit und Intercity","Fahren Sie Bus- oder Motor -Coach, einschließlich regulärer Streckenbetrieb, Charter und privater Kutsche. Kann Passagieren mit Gepäck unterstützen. Kann Tarife oder Tickets sammeln.",Transport- und materielle berufliche Berufe
Shuttle Drivers and Chauffeurs,2,Drive a motor vehicle to transport passengers on a planned or scheduled basis. May collect a fare. Includes nonemergency medical transporters and hearse drivers.,Transportation and Material Moving Occupations,53-3053.00,Shuttle -Fahrer und Chauffeure,"Fahren Sie ein Kraftfahrzeug, um Passagiere auf geplanter oder geplanter Basis zu transportieren. Kann einen Fahrpreis sammeln. Enthält medizinische Transporter ohne Notfall und Leichenwagen.",Transport- und materielle berufliche Berufe
Taxi Drivers,2,"Drive a motor vehicle to transport passengers on an unplanned basis and charge a fare, usually based on a meter.",Transportation and Material Moving Occupations,53-3054.00,Taxifahrer,"Fahren Sie ein Kraftfahrzeug, um die Passagiere ungeplant zu transportieren und einen Fahrpreis zu berechnen, normalerweise basierend auf einem Messgerät.",Transport- und materielle berufliche Berufe
Locomotive Engineers,2,"Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations.",Transportation and Material Moving Occupations,53-4011.00,Lokomotivingenieure,"Antrieb elektrische, Dieselelektrische, Dampf- oder Gasturbinen-Elektrik-Lokomotiven zum Transport von Passagieren oder Fracht. Interpretieren Sie Zugbestellungen, elektronische oder manuelle Signale sowie Regeln und Vorschriften der Eisenbahn.",Transport- und materielle berufliche Berufe
"Rail Yard Engineers, Dinkey Operators, and Hostlers",2,"Drive switching or other locomotive or dinkey engines within railroad yard, industrial plant, quarry, construction project, or similar location.",Transportation and Material Moving Occupations,53-4013.00,"Bahnhofingenieure, Dinkey -Betreiber und Hostler","Antriebsumschaltung oder andere Lokomotive oder Dinkey -Motoren innerhalb von Eisenbahnhof, Industrieanlage, Steinbruch, Bauprojekt oder ähnlicher Lage.",Transport- und materielle berufliche Berufe
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",2,"Operate or monitor railroad track switches or locomotive instruments. May couple or uncouple rolling stock to make up or break up trains. Watch for and relay traffic signals. May inspect couplings, air hoses, journal boxes, and hand brakes. May watch for dragging equipment or obstacles on rights-of-way.",Transportation and Material Moving Occupations,53-4022.00,"Eisenbahnbremse, Signal- und Schalterbetreiber und Lokomotivfeuerer","Binden oder Überwachung der Eisenbahnschaltschalter oder Lokomotivinstrumente. Kann Paare oder Entkupplungen abgebaut oder die Züge zerstören. Achten Sie auf und verleihen Sie Verkehrssignale. Kann Kupplungen, Luftschläuche, Journalkästen und Handbremsen überprüfen. Kann nach Ziehen von Geräten oder Hindernissen auf den Wegbeschwerden beobachten.",Transport- und materielle berufliche Berufe
Railroad Conductors and Yardmasters,2,"Coordinate activities of switch-engine crew within railroad yard, industrial plant, or similar location. Conductors coordinate activities of train crew on passenger or freight trains. Yardmasters review train schedules and switching orders and coordinate activities of workers engaged in railroad traffic operations, such as the makeup or breakup of trains and yard switching.",Transportation and Material Moving Occupations,53-4031.00,Eisenbahnleiter und Gartenmeister,"Koordinierte Aktivitäten der Switch-Engine-Besatzung innerhalb von Eisenbahnhof, Industrieanlage oder ähnlicher Lage. Leiter koordinieren Aktivitäten der Zugbesatzung in Passagier- oder Frachtzügen. Die Yardmasters überprüfen die Zugpläne und Schalten von Bestellungen und koordinieren Aktivitäten von Arbeitnehmern, die an Eisenbahnverkehrsbetrieb beteiligt sind, wie z.",Transport- und materielle berufliche Berufe
Subway and Streetcar Operators,2,"Operate subway or elevated suburban trains with no separate locomotive, or electric-powered streetcar, to transport passengers. May handle fares.",Transportation and Material Moving Occupations,53-4041.00,U -Bahn- und Straßenbahnbetreiber,"Betreiben Sie U-Bahn- oder erhöhte Vorstadtzüge ohne separate Lokomotive oder elektrische Straßenbahn, um Passagiere zu transportieren. Kann mit Tarifen umgehen.",Transport- und materielle berufliche Berufe
Sailors and Marine Oilers,2,"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen.",Transportation and Material Moving Occupations,53-5011.00,Seeleute und Meeresöler,"Halten Sie sich auf, um nach Obstruktionen im Gefäßpfad zu suchen, die Wassertiefe zu messen, die Brücke zu drehen oder Notfallausrüstung wie Captain, Mate oder Pilot zu verwenden. Ausbruch, Rigsprung, Überholung und Ladung von Ladungsausrüstung, stationärer Takelage und Laufausrüstung aufbewahren. Führen Sie eine Vielzahl von Wartungsaufgaben aus, um die bemalte Oberfläche des Schiffes zu erhalten und die Linien- und Schiffsausrüstung aufrechtzuerhalten. Muss bei der Arbeit an Bord von Flüssigkeitsschiffen eine staatlich ausgestellte Zertifizierung und Tankerman-Zertifizierung abhalten. Enthält fähige Seeleute und gewöhnliche Seeleute.",Transport- und materielle berufliche Berufe
"Captains, Mates, and Pilots of Water Vessels",3,"Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard.",Transportation and Material Moving Occupations,53-5021.00,"Kapitäne, Freunde und Piloten von Wassergefäßen","Befehls- oder Überwachungsvorgänge von Schiffen und Wassergefäßen wie Schleppern und Fährböden. Erforderlich, um eine Lizenz zu halten, die von der US -Küstenwache ausgestellt wurde.",Transport- und materielle berufliche Berufe
